Product URL,Descriptions
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2200601/2018/3/7/11520423289492-US-Polo-Assn-Denim-Co-Men-Jeans-4891520423289308-1.jpg",U.S. Polo Assn. Denim Co. Men Black Slim Fit Mid-Rise Clean Look Stretchable Jeans
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/1945630/2017/7/7/11499411246455-Jack--Jones-Men-Navy-Blue-Regular-Fit-High-Rise-Clean-Look-Jeans-9871499411246195-1.jpg",Jack & Jones Men Navy Blue Anti Regular Fit High-Rise Jeans
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/7720836/2020/2/19/79a730a7-fe03-4f1a-aff7-6fd6a86557e11582107457230-HIGHLANDER-Men-Blue-Tapered-Fit-Mid-Rise-Clean-Look-Stretcha-1.jpg",HIGHLANDER Men Blue Tapered Fit Mid-Rise Clean Look Stretchable Jeans
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2200603/2018/6/7/66ad784a-5ed8-49f4-be6d-3fe212040dc51528363838831-US-Polo-Assn-Denim-Co-Men-Blue-Delta-Slim-Fit-Mid-Rise-Clean-Look-Stretchable-Jeans-6881528363838509-1.jpg",U.S. Polo Assn. Denim Co. Men Blue Regular Fit Mid-Rise Clean Look Stretchable Jeans
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/8206983/2018/12/14/0774a7dd-1d4e-4e6f-94e8-703081340c961544783666136-HIGHLANDER-White-6251544783664787-1.jpg",HIGHLANDER Men White Jogger Mid-Rise Clean Look Stretchable Jeans
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/7326492/2020/2/19/b89d5db5-87f5-4549-9cad-4b1269b02ad41582111363568-HIGHLANDER-Men-Grey-Slim-Fit-Mid-Rise-Clean-Look-Stretchable-1.jpg",HIGHLANDER Men Grey Slim Fit Mid-Rise Clean Look Stretchable Jeans
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2020/6/20/a3bdb407-9aba-4784-a0c2-984bc55584101592602387479-1.jpg",HIGHLANDER Men Khaki Camouflage Slim Fit Chino Shorts
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/8120165/2019/12/23/4b06893d-b793-4194-8935-e40ef03890e61577086096479-HIGHLANDER-Men-Navy-Blue-Solid-Slim-Fit-Chino-Shorts-7911577-1.jpg",HIGHLANDER Men Navy Blue Solid Slim Fit Chino Shorts
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/8206991/2018/12/14/d8e25eda-decc-4427-9fd3-ecb58aeb0c061544783715511-HIGHLANDER-Olive-6961544783714971-1.jpg",HIGHLANDER Men Olive Green Printed Slim Fit Regular Shorts
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/12212306/2020/9/18/6383d9c5-062f-4df4-829f-768c784359511600419365638-HRX-by-Hrithik-Roshan-Men-Black-Solid-Regular-Fit-Sports-Sho-1.jpg",HRX by Hrithik Roshan Men Black Solid Rapid-Dry Running Shorts
